"user_id","sign_up_date","age","gender","married","has_children","home_country","home_city","session_count","avg_session_duration_minute","avg_page_clicks","total_trips","conversion_rate","weekend_trip_proportion","cancellation_proportion","avg_booking_departure_gap_days_flights","avg_booking_departure_gap_days_hotels","total_flights_booked","round_trips_proportion","avg_flight_price_usd","avg_flight_discount_amount","discounted_flight_proportion","avg_flight_seats","avg_checked_bags","avg_distance_flown_km","total_hotels_booked","avg_hotel_price_usd","avg_hotel_discount_amount","discounted_hotel_proportion","avg_hotel_rooms","avg_stay_duration_day"
"23557","2021-07-22","65","F","true","false","usa","new york","12","6.93","17.50","4","0.33","0.00","0.25","248.05","10.59","2","1.00","518.29","0.15","0.21","1.00","1.00","2680.73","4","157.33","0.18","0.29","1.33","7.33"
"94883","2022-02-07","52","F","true","false","usa","kansas city","12","0.50","8.33","3","0.25","0.00","0.00","60.98","7.31","3","1.00","1784.95","0.10","0.08","1.67","1.00","5057.35","2","90.00","0.08","0.17","1.50","0.50"
"101486","2022-02-17","51","F","true","true","usa","tacoma","13","1.27","34.87","4","0.31","0.00","0.25","102.86","89.32","3","1.00","1938.05","0.08","0.47","3.00","2.17","3024.52","4","150.14","","0.13","1.71","9.29"
"101961","2022-02-17","43","F","true","false","usa","boston","12","2.00","18.17","7","0.58","0.14","0.00","6.58","7.34","6","1.00","321.53","0.13","0.25","1.00","0.50","1753.36","7","150.29","0.10","0.08","1.00","3.14"
"106907","2022-02-24","45","F","true","true","usa","miami","14","4.56","29.50","3","0.21","0.00","0.33","160.06","134.38","2","0.50","11154.75","0.15","0.19","5.00","4.20","11571.85","3","154.50","0.20","0.19","2.33","9.17"
"118043","2022-03-10","52","F","false","true","usa","los angeles","13","4.67","16.53","6","0.46","0.00","0.17","103.97","8.36","4","1.00","368.19","0.17","0.33","1.43","0.43","1242.10","5","227.25","0.13","0.40","1.25","5.50"
"120851","2022-03-13","51","F","true","true","usa","santa ana","13","0.80","36.07","4","0.31","0.00","0.25","74.08","6.19","4","1.00","2148.76","0.18","0.40","1.57","0.71","6198.32","4","170.00","","0.13","1.00","7.33"
"125845","2022-03-19","40","F","true","false","usa","el paso","13","1.47","32.60","5","0.38","0.00","0.20","72.56","73.10","5","1.00","2834.14","0.15","0.27","1.63","0.75","8997.75","5","251.38","0.07","0.33","1.13","6.25"
"133058","2022-03-27","19","F","false","false","usa","austin","13","0.62","8.69","2","0.15","0.00","0.00","6.49","22.66","1","1.00","423.51","0.15","0.08","1.00","0.00","2675.72","1","205.00","0.08","0.23","1.00","5.00"
"149058","2022-04-14","51","F","false","true","usa","birmingham","12","2.79","15.36","6","0.50","0.00","0.17","58.59","58.79","6","1.00","664.40","0.05","0.21","1.56","0.67","2304.81","6","165.67","","0.14","1.11","8.56"
